file,bytes,MiB,sha256
AI_ML Engineer Hands-on assignment.pdf,56126,0.05352592468261719,56d832244090f4e0b7dba920e0de8ebd09b1147f4d06a0ee0cfc4d165706b22a
intent-classification-assignment.zip,16889505,16.10708713531494,1bb7edb6fe999e9ca92d424c46a4ac7c687f66acf34cdc07a9456bc88fa8b4ad
intent-classification-assignment\intent-classification-assignment\.DS_Store,6148,0.005863189697265625,66a8107185a7a3cae54601e0fe075a3e8521d52e60a5ec3af3cfa12d5ef85eee
intent-classification-assignment\intent-classification-assignment\label_mapping.json,239,0.00022792816162109375,e59b312a9203135b6f433382bbd2eddac7af97d2395e08730dca7b5e55fffdfb
intent-classification-assignment\intent-classification-assignment\llm_baseline_test_predictions.json,98128,0.0935821533203125,86c68fcf48bf8f9b369d45f2af91c21a3a0668a0e9dff4e254629b73b05407b4
intent-classification-assignment\intent-classification-assignment\llm_baseline_train_predictions.json,98035,0.09349346160888672,933f1334f9ee056c3bb265fe1d7462f68aa75db07c3026a17ffe8cdc82bd61c0
intent-classification-assignment\intent-classification-assignment\manifest.json,559,0.0005331039428710938,555de708306341b5998902ca353100b36ca18113b2ab79a23c1eb70fa6985a2c
intent-classification-assignment\intent-classification-assignment\README.md,1031,0.0009832382202148438,c75a9ed40942d40f4844615281fcfbc762ee23ae4071b5274831a9f6bc870cbf
intent-classification-assignment\intent-classification-assignment\test_embeddings_a.npy,1388672,1.3243408203125,ce4b58e815a8b8cf8eefad4f441c82d613fefbc4d7a85fbaf1f47be9a33c6edc
intent-classification-assignment\intent-classification-assignment\test_embeddings_b.npy,2777216,2.6485595703125,86168779d0f38134b45242b0c623fdb8c682adf2c7315c23d2595012f15c0d60
intent-classification-assignment\intent-classification-assignment\test_embeddings_c.npy,5554304,5.2969970703125,93bdf52ad64b0685a83eeecda6667e34db4a2d8ccf3b840d57f02cdf4f6891a9
intent-classification-assignment\intent-classification-assignment\test_queries.csv,7241,0.006905555725097656,1a5571c677122ec88cba70f29588ea66293a07527871f5dca6610e8a5900ed10
intent-classification-assignment\intent-classification-assignment\train_embeddings_a.npy,1387136,1.3228759765625,5c04380f43417625e12af4955315cf8d4a5b21ce0a419ddcea89497d7ac324c1
intent-classification-assignment\intent-classification-assignment\train_embeddings_b.npy,2774144,2.6456298828125,94c48b941e52530c2e29801f92458da6c7e56beec666f75ec46a19c6303e3ce4
intent-classification-assignment\intent-classification-assignment\train_embeddings_c.npy,5548160,5.2911376953125,789ea6631b374d7a35cd25354187affa666873ce24c4c36a9566ed373bd72eed
intent-classification-assignment\intent-classification-assignment\train_queries.csv,25814,0.024618148803710938,51a7a8a4bf0a38759d3fa1892e12667b7407e991a582c1d4a3534f0ac0111459
